"N1,C,10","N2,C,15","N3,C,17","N4,C,17","N5,C,17","N6,C,17","N7,C,17","N8,C,18","N9,C,17",,,"N10,C,30","N11,C,17","N12,C,18","N13,C,18","N14,C,14","N15,C,15","N16,C,19",,,,,,,"N17,C,10","N18,C,9",,,,"N21,C,1","N22,C,16","N23,C,16",,,,,,,
132,131,1.8,3,3,5,5,4,1,5,4,3240.573125,2.874101788,0.451632147,3.325733936,2.8741,3.617,100,5,2.874101788,4.44089E-15,3.325733936,4.185432668,,,,,,,,,,,,,,,,
133,132,1.8,3,3,5,5,4,1,5,4,3154.117894,2.874101788,0.451632147,3.325733936,2.8741,3.617,100,5,2.874101788,4.44089E-15,3.325733936,4.185432668,,,,,,,,,,,,,,,,
134,133,1.8,4,3,5,5,4,1,5,4,0,2.994680784,0.470579754,3.465260538,2.9947,3.769,100,5,2.994680784,0,3.465260538,4.361026751,,,,,,,,,,,,,,,,
135,134,1.159945055,3,4,5,5,4,1,5,4,3440.568963,2.812473121,0.652787417,3.465260538,2.8125,3.539,100,5,2.812473121,0,3.465260538,4.361026751,,,,,,,,,,,,,,,,
136,135,1.159945055,5,5,4,4,4,1,5,4,0,2.930466571,0.680174217,3.610640788,2.9305,3.688,100,5,2.930466571,0,3.610640788,4.543987642,,,,,,,,,,,,,,,,
137,136,1.159945055,5,5,4,4,4,1,5,4,3119.174447,3.687989104,0.855998538,4.543987642,2.9305,3.688,100,5,2.930466571,0.757522533,3.610640788,4.543987642,,,,,,,,,,,,,,,,
138,137,1.159945055,5,5,4,4,4,1,5,4,3437.038521,2.930466571,0.680174217,3.610640788,2.9305,3.688,100,5,2.930466571,0,3.610640788,4.543987642,,,,,,,,,,,,,,,,
139,138,1.159945055,5,5,4,4,4,1,5,4,3491.058069,2.930466571,0.680174217,3.610640788,2.9305,3.688,100,5,2.930466571,0,3.610640788,4.543987642,,,,,,,,,,,,,,,,
140,139,1.159945055,4,5,4,2,4,1,5,4,3419.297972,2.570917845,0.596721372,3.167639218,2.5709,3.235,100,5,2.570917845,0,3.167639218,3.986470631,,,,,,,,,,,,,,,,
141,140,1.159945055,4,5,4,2,4,1,5,4,3388.8605,2.570917845,0.596721372,3.167639218,2.5709,3.235,100,5,2.570917845,0,3.167639218,3.986470631,,,,,,,,,,,,,,,,
142,141,1.159945055,4,5,4,5,4,1,5,4,3284.010158,3.687989104,0.855998538,4.543987642,2.9305,3.688,100,5,2.930466571,0.757522533,3.610640788,4.543987642,,,,,,,,,,,,,,,,
143,142,1.159945055,4,5,4,2,4,1,5,4,3403.236806,2.570917845,0.596721372,3.167639218,2.5709,3.235,100,5,2.570917845,0,3.167639218,3.986470631,,,,,,,,,,,,,,,,
144,143,1.159945055,4,5,4,5,4,1,5,4,3403.236806,2.930466571,0.680174217,3.610640788,2.9305,3.688,100,5,2.930466571,0,3.610640788,4.543987642,,,,,,,,,,,,,,,,
145,144,1.8,3,3,5,5,3,1,5,1,3866.914778,2.758377833,0.433447454,3.191825287,2.7584,3.471,100,5,2.357727314,0.400650519,3.191825287,4.016908774,,,,,,,,,,,,,,,,
146,145,1.159945055,4,5,4,4,4,1,5,4,3724.778235,2.838523434,0.658833809,3.497357243,2.8385,3.572,100,5,2.838523434,-4.88498E-15,3.497357243,4.401420421,,,,,,,,,,,,,,,,
147,146,1.159945055,4,5,4,5,4,1,5,4,3405.747189,2.930466571,0.680174217,3.610640788,2.9305,3.688,100,5,2.930466571,0,3.610640788,4.543987642,,,,,,,,,,,,,,,,
148,147,1.159945055,4,5,4,2,4,1,5,4,3326.059968,2.570917845,0.596721372,3.167639218,2.5709,3.235,100,5,2.570917845,0,3.167639218,3.986470631,,,,,,,,,,,,,,,,
149,148,1.159945055,4,5,4,3,4,1,5,4,3430.657676,3.428443137,0.795756775,4.224199911,2.7242,3.428,100,5,2.724232019,0.704211118,3.356538286,4.224199911,,,,,,,,,,,,,,,,
150,149,1.159945055,4,5,4,4,4,1,5,4,3300.161091,2.838523434,0.658833809,3.497357243,2.8385,3.572,100,5,2.838523434,-4.88498E-15,3.497357243,4.401420421,,,,,,,,,,,,,,,,
151,150,1.159945055,4,5,4,3,4,1,5,4,3203.153821,2.724232019,0.632306268,3.356538286,2.7242,3.428,100,5,2.724232019,0,3.356538286,4.224199911,,,,,,,,,,,,,,,,
152,151,1.159945055,4,5,4,5,4,1,5,4,3241.127205,2.930466571,0.680174217,3.610640788,2.9305,3.688,100,5,2.930466571,0,3.610640788,4.543987642,,,,,,,,,,,,,,,,
153,152,1.159945055,4,5,4,4,4,1,5,4,3292.685897,2.838523434,0.658833809,3.497357243,2.8385,3.572,100,5,2.838523434,-4.88498E-15,3.497357243,4.401420421,,,,,,,,,,,,,,,,
154,153,1.194448725,1,2,5,5,4,1,5,4,0,2.186464855,0.49623094,2.682695795,2.1865,2.752,100,5,2.186464855,4.44089E-15,2.682695795,3.376169843,,,,,,,,,,,,,,,,
155,154,1.194448725,2,2,5,5,4,1,5,4,0,2.414052919,0.547883377,2.961936296,2.4141,3.038,100,5,2.414052919,0,2.961936296,3.72759372,,,,,,,,,,,,,,,,
156,155,1.8,4,3,5,5,3,1,5,1,3881.362756,2.874101788,0.451632147,3.325733936,2.8741,3.617,100,5,2.456642527,0.417459261,3.325733936,4.185432668,,,,,,,,,,,,,,,,
157,156,1.194448725,1,1,4,5,4,1,5,4,0,1.918200184,0.43534671,2.353546894,1.9182,2.414,100,5,1.918200184,0,2.353546894,2.961936296,,,,,,,,,,,,,,,,
158,157,1.194448725,1,2,4,2,4,1,5,4,0,2.338312216,0.530693584,2.869005799,1.858,2.338,100,5,1.858016818,0.480295398,2.279704562,2.869005799,,,,,,,,,,,,,,,,
159,158,5,1,2,5,3,3,1,5,1,3895.094501,2.393483066,0,2.393483066,2.3935,3.012,100,5,2.045833001,0.347650065,2.393483066,3.012195926,,,,,,,,,,,,,,,,
160,159,5,2,2,5,3,3,1,5,1,3849.945227,2.642619554,0,2.642619554,2.6426,3.326,100,5,2.258782763,0.383836791,2.642619554,3.325733936,,,,,,,,,,,,,,,,
161,160,5,2,2,5,3,3,1,5,1,3785.481504,2.642619554,0,2.642619554,2.6426,3.326,100,5,2.258782763,0.383836791,2.642619554,3.325733936,,,,,,,,,,,,,,,,
162,161,1.8,2,2,5,4,3,1,5,1,3839.169843,2.379565579,0.373921451,2.75348703,2.3796,2.995,100,5,2.03393701,0.345628569,2.75348703,3.465260538,,,,,,,,,,,,,,,,
163,162,1.8,2,2,5,4,3,1,5,1,3939.85542,2.379565579,0.373921451,2.75348703,2.3796,2.995,100,5,2.03393701,0.345628569,2.75348703,3.465260538,,,,,,,,,,,,,,,,
164,163,1.8,2,2,5,1,3,1,5,1,3765.138424,2.456642527,0.38603321,2.842675737,1.952,2.457,100,5,1.668510441,0.788132086,2.258782763,2.842675737,,,,,,,,,,,,,,,,
165,164,1.8,2,2,5,2,3,1,5,1,3879.55908,2.155228856,0.338669507,2.493898362,2.1552,2.712,100,5,1.842184881,0.313043974,2.493898362,3.138568472,,,,,,,,,,,,,,,,
166,165,1.8,2,2,5,3,3,1,5,1,3904.475519,2.283753822,0.358865732,2.642619554,2.2838,2.874,100,5,1.952041776,0.331712046,2.642619554,3.325733936,,,,,,,,,,,,,,,,
167,166,1.8,2,2,5,2,3,1,5,1,3942.281036,2.155228856,0.338669507,2.493898362,2.1552,2.712,100,5,1.842184881,0.313043974,2.493898362,3.138568472,,,,,,,,,,,,,,,,
168,167,1.8,1,1,5,1,3.5,1,5,3.5,3953.130234,1.636983737,0.257233228,1.894216965,1.637,2.06,100,5,1.636983737,4.21885E-15,1.894216965,2.383870062,,,,,,,,,,,,,,,,
169,168,1.8,1,1,5,1,4,1,5,4,4232.22826,1.668510441,0.262187288,1.930697729,1.6685,2.1,100,5,1.668510441,4.88498E-15,1.930697729,2.429781066,,,,,,,,,,,,,,,,
170,169,1.8,1,1,5,1,4,1,5,4,4251.847012,1.668510441,0.262187288,1.930697729,1.6685,2.1,100,5,1.668510441,4.88498E-15,1.930697729,2.429781066,,,,,,,,,,,,,,,,
171,170,1.8,1,1,5,1,4,1,5,4,4231.03581,1.668510441,0.262187288,1.930697729,1.6685,2.1,100,5,1.668510441,4.88498E-15,1.930697729,2.429781066,,,,,,,,,,,,,,,,
172,171,1.8,2,1,5,3,4,1,5,4,4165.193912,2.155228856,0.338669507,2.493898362,2.1552,2.712,100,5,2.155228856,0,2.493898362,3.138568472,,,,,,,,,,,,,,,,
173,172,1.8,2,1,5,1,4,1,5,4,4197.97771,1.842184881,0.289478235,2.131663117,1.8422,2.318,100,5,1.842184881,4.44089E-15,2.131663117,2.682695795,,,,,,,,,,,,,,,,
174,173,1.8,1,1,5,1,4,1,5,4,4131.103847,1.668510441,0.262187288,1.930697729,1.6685,2.1,100,5,1.668510441,4.88498E-15,1.930697729,2.429781066,,,,,,,,,,,,,,,,
175,174,1.8,1,1,5,1,4,1,5,4,4237.323792,1.668510441,0.262187288,1.930697729,1.6685,2.1,100,5,1.668510441,4.88498E-15,1.930697729,2.429781066,,,,,,,,,,,,,,,,
176,175,1.8,1,1,5,1,4,1,5,4,4154.480436,1.668510441,0.262187288,1.930697729,1.6685,2.1,100,5,1.668510441,4.88498E-15,1.930697729,2.429781066,,,,,,,,,,,,,,,,
177,176,1.8,1,1,5,1,4,1,5,4,4154.480436,1.668510441,0.262187288,1.930697729,1.6685,2.1,100,5,1.668510441,4.88498E-15,1.930697729,2.429781066,,,,,,,,,,,,,,,,
178,177,1.8,1,1,5,1,4,1,5,4,3969.289501,1.668510441,0.262187288,1.930697729,1.6685,2.1,100,5,1.668510441,4.88498E-15,1.930697729,2.429781066,,,,,,,,,,,,,,,,
179,178,1.8,1,1,5,1,4,1,5,4,3844.678494,1.668510441,0.262187288,1.930697729,1.6685,2.1,100,5,1.668510441,4.88498E-15,1.930697729,2.429781066,,,,,,,,,,,,,,,,
180,179,1.8,2,2,5,1,4,1,5,4,3913.817726,2.03393701,0.319609884,2.353546894,2.0339,2.56,100,5,2.03393701,0,2.353546894,2.961936296,,,,,,,,,,,,,,,,
181,180,1.194448725,4,3,5,5,4,1,5,4,0,2.824274893,0.640985645,3.465260538,2.8243,3.554,100,5,2.824274893,0,3.465260538,4.361026751,,,,,,,,,,,,,,,,
182,181,1.194448725,3,2,5,1,4,1,5,4,0,2.558012605,0.580555867,3.138568472,2.0326,2.558,100,5,2.032590177,0.525422428,2.493898362,3.138568472,,,,,,,,,,,,,,,,
183,182,1.194448725,2,1,5,1,4,1,5,4,0,1.737359299,0.394303817,2.131663117,1.7374,2.186,100,5,1.737359299,-3.9968E-15,2.131663117,2.682695795,,,,,,,,,,,,,,,,
184,183,1.8,3,3,5,5,3,1,5,1,3780.230962,2.758377833,0.433447454,3.191825287,2.7584,3.471,100,5,2.357727314,0.400650519,3.191825287,4.016908774,,,,,,,,,,,,,,,,
185,184,1.8,3,3,5,5,4,1,5,4,3780.230962,3.617054085,0.568378583,4.185432668,2.8741,3.617,100,5,2.874101788,0.742952296,3.325733936,4.185432668,,,,,,,,,,,,,,,,
186,185,1.8,3,3,5,5,4,1,5,4,3780.230962,2.874101788,0.451632147,3.325733936,2.8741,3.617,100,5,2.874101788,4.44089E-15,3.325733936,4.185432668,,,,,,,,,,,,,,,,
187,186,1.194448725,2,2,4,2,4,1,5,4,0,2.051416885,0.465581016,2.516997901,2.0514,2.582,100,5,2.051416885,-3.55271E-15,2.516997901,3.167639218,,,,,,,,,,,,,,,,
188,187,1.159945055,3,3,4,3,4,1,5,4,0,2.430541403,0.564139381,2.994680784,2.4305,3.059,100,5,2.430541403,0,2.994680784,3.768802624,,,,,,,,,,,,,,,,
189,188,1.8,3,3,5,5,4,1,5,4,3670.203417,2.874101788,0.451632147,3.325733936,2.8741,3.617,100,5,2.874101788,4.44089E-15,3.325733936,4.185432668,,,,,,,,,,,,,,,,
190,189,1.159945055,3,3,4,3,4,1,5,4,0,3.058833806,0.709968819,3.768802624,2.4305,3.059,100,5,2.430541403,0.628292402,2.994680784,3.768802624,,,,,,,,,,,,,,,,
191,190,1.159945055,2,2,4,4,4,1,5,4,0,2.838523434,0.658833809,3.497357243,2.2555,2.839,100,5,2.255483354,0.58304008,2.778990989,3.497357243,,,,,,,,,,,,,,,,
192,191,1.159945055,3,2,4,5,4,1,5,4,0,2.467401406,0.57269475,3.040096156,2.4674,3.105,100,5,2.467401406,4.44089E-15,3.040096156,3.825957822,,,,,,,,,,,,,,,,
193,192,1.159945055,2,2,4,2,4,1,5,4,0,2.042844648,0.474153254,2.516997901,2.0428,2.571,100,5,2.042844648,5.32907E-15,2.516997901,3.167639218,,,,,,,,,,,,,,,,
194,193,1.159945055,2,2,4,2,4,1,5,4,0,2.042844648,0.474153254,2.516997901,2.0428,2.571,100,5,2.042844648,5.32907E-15,2.516997901,3.167639218,,,,,,,,,,,,,,,,
195,194,1.159945055,1,1,4,2,4,1,5,4,0,1.675817691,0.388964678,2.064782369,1.6758,2.109,100,5,1.675817691,-2.44249E-15,2.064782369,2.598526445,,,,,,,,,,,,,,,,
196,195,1.159945055,1,1,4,5,4,1,5,4,0,1.910184618,0.443362276,2.353546894,1.9102,2.404,100,5,1.910184618,0,2.353546894,2.961936296,,,,,,,,,,,,,,,,
197,196,1.159945055,1,1,4,2,4,1,5,4,0,1.675817691,0.388964678,2.064782369,1.6758,2.109,100,5,1.675817691,-2.44249E-15,2.064782369,2.598526445,,,,,,,,,,,,,,,,
198,197,1.194448725,1,1,4,5,4,1,5,4,0,1.918200184,0.43534671,2.353546894,1.9182,2.414,100,5,1.918200184,0,2.353546894,2.961936296,,,,,,,,,,,,,,,,
199,198,1.194448725,1,1,4,2,4,1,5,4,0,2.117864708,0.480661737,2.598526445,1.6828,2.118,100,5,1.682849801,0.435014908,2.064782369,2.598526445,,,,,,,,,,,,,,,,
200,199,1.194448725,1,1,4,2,4,1,5,4,0,2.117864708,0.480661737,2.598526445,1.6828,2.118,100,5,1.682849801,0.435014908,2.064782369,2.598526445,,,,,,,,,,,,,,,,
201,200,1.194448725,1,1,4,2,4,1,5,4,0,1.682849801,0.381932569,2.064782369,1.6828,2.118,100,5,1.682849801,-3.33067E-15,2.064782369,2.598526445,,,,,,,,,,,,,,,,
202,201,1.194448725,1,1,4,3,4,1,5,4,0,1.783204904,0.404708744,2.187913648,1.7832,2.244,100,5,1.783204904,-1.77636E-15,2.187913648,2.75348703,,,,,,,,,,,,,,,,
203,202,1.194448725,1,1,4,1,4,1,5,4,0,1.524196888,0.345925366,1.870122254,1.5242,1.918,100,5,1.524196888,3.9968E-15,1.870122254,2.353546894,,,,,,,,,,,,,,,,
204,203,1.194448725,1,1,4,1,4,1,5,4,0,1.524196888,0.345925366,1.870122254,1.5242,1.918,100,5,1.524196888,3.9968E-15,1.870122254,2.353546894,,,,,,,,,,,,,,,,
205,204,1.194448725,2,1,4,2,4,1,5,4,0,1.858016818,0.421687744,2.279704562,1.858,2.338,100,5,1.858016818,-3.9968E-15,2.279704562,2.869005799,,,,,,,,,,,,,,,,
206,205,1.194448725,2,2,4,3,4,1,5,4,0,2.735663511,0.620874775,3.356538286,2.1738,2.736,100,5,2.173751126,0.561912385,2.667096611,3.356538286,,,,,,,,,,,,,,,,
207,206,1.194448725,1,1,4,4,4,1,5,4,0,1.858016818,0.421687744,2.279704562,1.858,2.338,100,5,1.858016818,-3.9968E-15,2.279704562,2.869005799,,,,,,,,,,,,,,,,
208,207,1.8,3,3,5,5,4,1,5,4,3670.203417,2.874101788,0.451632147,3.325733936,2.8741,3.617,100,5,2.874101788,4.44089E-15,3.325733936,4.185432668,,,,,,,,,,,,,,,,
209,208,1.194448725,4,3,4,2,4,1,5,4,0,3.020417395,0.685501329,3.705918724,2.4,3.02,100,5,2.400015823,0.620401572,2.9447134,3.705918724,,,,,,,,,,,,,,,,
210,209,1.194448725,4,3,4,3,4,1,5,4,0,2.543138422,0.577180085,3.120318506,2.5431,3.201,100,5,2.543138422,0,3.120318506,3.926917566,,,,,,,,,,,,,,,,
211,210,1.8,3,3,5,5,4,1,5,4,3680.371861,2.874101788,0.451632147,3.325733936,2.8741,3.617,100,5,2.874101788,4.44089E-15,3.325733936,4.185432668,,,,,,,,,,,,,,,,
212,211,1.8,3,3,5,5,4,1,5,4,3772.599331,2.874101788,0.451632147,3.325733936,2.8741,3.617,100,5,2.874101788,4.44089E-15,3.325733936,4.185432668,,,,,,,,,,,,,,,,
213,212,1.8,3,3,5,4,4,1,5,4,3588.679184,2.783927092,0.437462227,3.221389319,2.7839,3.504,100,5,2.783927092,0,3.221389319,4.054115078,,,,,,,,,,,,,,,,
214,213,1.8,3,3,5,1,4,1,5,4,3304.617539,2.283753822,0.358865732,2.642619554,2.2838,2.874,100,5,2.283753822,0,2.642619554,3.325733936,,,,,,,,,,,,,,,,
215,214,1.8,3,3,5,1,4,1,5,4,3404.509023,2.283753822,0.358865732,2.642619554,2.2838,2.874,100,5,2.283753822,0,2.642619554,3.325733936,,,,,,,,,,,,,,,,
216,215,1.8,3,3,5,1,4,1,5,4,3348.385781,2.874101788,0.451632147,3.325733936,2.2838,2.874,100,5,2.283753822,0.590347967,2.642619554,3.325733936,,,,,,,,,,,,,,,,
217,216,1.8,3,3,5,1,4,1,5,4,3481.025109,2.283753822,0.358865732,2.642619554,2.2838,2.874,100,5,2.283753822,0,2.642619554,3.325733936,,,,,,,,,,,,,,,,
218,217,1.8,3,3,5,1,4,1,5,4,3681.647649,2.283753822,0.358865732,2.642619554,2.2838,2.874,100,5,2.283753822,0,2.642619554,3.325733936,,,,,,,,,,,,,,,,
219,218,1.8,4,3,5,1,4,1,5,4,3629.022228,2.379565579,0.373921451,2.75348703,2.3796,2.995,100,5,2.379565579,0,2.75348703,3.465260538,,,,,,,,,,,,,,,,
220,219,1.8,4,3,5,4,4,1,5,4,3774.814459,2.900722932,0.455815355,3.356538286,2.9007,3.651,100,5,2.900722932,0,3.356538286,4.224199911,,,,,,,,,,,,,,,,
221,220,1.8,4,3,5,1,4,1,5,4,3674.676532,2.379565579,0.373921451,2.75348703,2.3796,2.995,100,5,2.379565579,0,2.75348703,3.465260538,,,,,,,,,,,,,,,,
222,221,1.8,4,3,5,1,4,1,5,4,3674.676532,2.379565579,0.373921451,2.75348703,2.3796,2.995,100,5,2.379565579,0,2.75348703,3.465260538,,,,,,,,,,,,,,,,
223,222,1.8,4,3,5,5,4,1,5,4,3867.424332,3.768802624,0.592224127,4.361026751,2.9947,3.769,100,5,2.994680784,0.77412184,3.465260538,4.361026751,,,,,,,,,,,,,,,,
224,223,1.8,2,2,5,3,4,1,5,4,3879.229299,2.994680784,0.470579754,3.465260538,2.3796,2.995,100,5,2.379565579,0.615115205,2.75348703,3.465260538,,,,,,,,,,,,,,,,
225,224,1.8,1,2,5,3,4,1,5,4,3890.969501,2.155228856,0.338669507,2.493898362,2.1552,2.712,100,5,2.155228856,0,2.493898362,3.138568472,,,,,,,,,,,,,,,,
226,225,1.8,2,2,5,3,4,1,5,4,3814.761766,2.994680784,0.470579754,3.465260538,2.3796,2.995,100,5,2.379565579,0.615115205,2.75348703,3.465260538,,,,,,,,,,,,,,,,
227,226,1.8,2,2,5,5,4,1,5,4,3860.20701,3.221389319,0.506204401,3.72759372,2.5597,3.221,100,5,2.559707592,0.661681727,2.961936296,3.72759372,,,,,,,,,,,,,,,,
228,227,1.8,2,2,5,4,4,1,5,4,3847.460321,2.479396987,0.389608812,2.869005799,2.4794,3.12,100,5,2.479396987,-3.55271E-15,2.869005799,3.610640788,,,,,,,,,,,,,,,,
229,228,1.8,2,2,5,1,4,1,5,4,3763.602621,2.03393701,0.319609884,2.353546894,2.0339,2.56,100,5,2.03393701,0,2.353546894,2.961936296,,,,,,,,,,,,,,,,
230,229,1.194448725,3,3,4,3,4,1,5,4,0,2.440740504,0.55394028,2.994680784,2.4407,3.072,100,5,2.440740504,4.44089E-15,2.994680784,3.768802624,,,,,,,,,,,,,,,,
231,230,1.194448725,3,2,4,2,4,1,5,4,0,2.173751126,0.493345485,2.667096611,2.1738,2.736,100,5,2.173751126,-4.44089E-15,2.667096611,3.356538286,,,,,,,,,,,,,,,,
232,231,1.194448725,1,1,4,4,4,1,5,4,0,1.858016818,0.421687744,2.279704562,1.858,2.338,100,5,1.858016818,-3.9968E-15,2.279704562,2.869005799,,,,,,,,,,,,,,,,
233,232,1.194448725,5,4,4,5,4,1,5,4,0,2.94276347,0.667877318,3.610640788,2.9428,3.703,100,5,2.94276347,0,3.610640788,4.543987642,,,,,,,,,,,,,,,,
234,233,1.194448725,5,4,4,1,4,1,5,4,0,2.338312216,0.530693584,2.869005799,2.3383,2.943,100,5,2.338312216,-5.32907E-15,2.869005799,3.610640788,,,,,,,,,,,,,,,,
235,234,1.194448725,5,4,4,1,4,1,5,4,0,2.94276347,0.667877318,3.610640788,2.3383,2.943,100,5,2.338312216,0.604451254,2.869005799,3.610640788,,,,,,,,,,,,,,,,
236,235,1.159945055,4,5,4,3,4,1,5,4,0,2.724232019,0.632306268,3.356538286,2.7242,3.428,100,5,2.724232019,0,3.356538286,4.224199911,,,,,,,,,,,,,,,,
237,236,1.159945055,4,5,4,4,4,1,5,4,3724.778235,2.838523434,0.658833809,3.497357243,2.8385,3.572,100,5,2.838523434,-4.88498E-15,3.497357243,4.401420421,,,,,,,,,,,,,,,,
238,237,1.8,4,3,5,4,4,1,5,4,3770.087043,2.900722932,0.455815355,3.356538286,2.9007,3.651,100,5,2.900722932,0,3.356538286,4.224199911,,,,,,,,,,,,,,,,
239,238,1.159945055,4,5,4,5,4,1,5,4,0,2.930466571,0.680174217,3.610640788,2.9305,3.688,100,5,2.930466571,0,3.610640788,4.543987642,,,,,,,,,,,,,,,,
240,239,1.159945055,4,5,4,2,4,1,5,4,0,2.570917845,0.596721372,3.167639218,2.5709,3.235,100,5,2.570917845,0,3.167639218,3.986470631,,,,,,,,,,,,,,,,
241,240,1.159945055,4,5,4,2,4,1,5,4,0,2.570917845,0.596721372,3.167639218,2.5709,3.235,100,5,2.570917845,0,3.167639218,3.986470631,,,,,,,,,,,,,,,,
242,241,1.159945055,4,5,4,2,4,1,5,4,0,2.570917845,0.596721372,3.167639218,2.5709,3.235,100,5,2.570917845,0,3.167639218,3.986470631,,,,,,,,,,,,,,,,
243,242,1.159945055,4,5,4,2,4,1,5,4,0,2.570917845,0.596721372,3.167639218,2.5709,3.235,100,5,2.570917845,0,3.167639218,3.986470631,,,,,,,,,,,,,,,,
244,243,1.194448725,5,4,4,2,4,1,5,4,0,2.581705997,0.585933221,3.167639218,2.5817,3.249,100,5,2.581705997,-3.55271E-15,3.167639218,3.986470631,,,,,,,,,,,,,,,,
245,244,1.194448725,5,4,4,1,4,1,5,4,0,2.94276347,0.667877318,3.610640788,2.3383,2.943,100,5,2.338312216,0.604451254,2.869005799,3.610640788,,,,,,,,,,,,,,,,
246,245,1.194448725,5,4,4,3,4,1,5,4,0,3.442829658,0.781370253,4.224199911,2.7357,3.443,100,5,2.735663511,0.707166147,3.356538286,4.224199911,,,,,,,,,,,,,,,,
247,246,1.194448725,5,4,4,2,4,1,5,4,0,2.581705997,0.585933221,3.167639218,2.5817,3.249,100,5,2.581705997,-3.55271E-15,3.167639218,3.986470631,,,,,,,,,,,,,,,,
248,247,1.194448725,5,4,4,5,4,1,5,4,0,2.94276347,0.667877318,3.610640788,2.9428,3.703,100,5,2.94276347,0,3.610640788,4.543987642,,,,,,,,,,,,,,,,
249,248,1.194448725,5,4,4,1,4,1,5,4,0,2.338312216,0.530693584,2.869005799,2.3383,2.943,100,5,2.338312216,-5.32907E-15,2.869005799,3.610640788,,,,,,,,,,,,,,,,
250,249,1.194448725,5,4,4,1,4,1,5,4,0,2.338312216,0.530693584,2.869005799,2.3383,2.943,100,5,2.338312216,-5.32907E-15,2.869005799,3.610640788,,,,,,,,,,,,,,,,
251,250,1.194448725,5,4,4,1,4,1,5,4,0,2.338312216,0.530693584,2.869005799,2.3383,2.943,100,5,2.338312216,-5.32907E-15,2.869005799,3.610640788,,,,,,,,,,,,,,,,
252,251,1.194448725,5,4,4,1,4,1,5,4,0,2.338312216,0.530693584,2.869005799,2.3383,2.943,100,5,2.338312216,-5.32907E-15,2.869005799,3.610640788,,,,,,,,,,,,,,,,
253,252,1.194448725,5,4,4,1,4,1,5,4,0,2.338312216,0.530693584,2.869005799,2.3383,2.943,100,5,2.338312216,-5.32907E-15,2.869005799,3.610640788,,,,,,,,,,,,,,,,
254,253,1.194448725,1,1,4,1,4,1,5,4,0,1.524196888,0.345925366,1.870122254,1.5242,1.918,100,5,1.524196888,3.9968E-15,1.870122254,2.353546894,,,,,,,,,,,,,,,,
255,254,1.194448725,1,1,4,1,4,1,5,4,0,1.524196888,0.345925366,1.870122254,1.5242,1.918,100,5,1.524196888,3.9968E-15,1.870122254,2.353546894,,,,,,,,,,,,,,,,
256,255,1.194448725,2,1,4,1,4,1,5,4,0,1.682849801,0.381932569,2.064782369,1.6828,2.118,100,5,1.682849801,-3.33067E-15,2.064782369,2.598526445,,,,,,,,,,,,,,,,
257,256,1.194448725,1,1,4,1,4,1,5,4,0,1.524196888,0.345925366,1.870122254,1.5242,1.918,100,5,1.524196888,3.9968E-15,1.870122254,2.353546894,,,,,,,,,,,,,,,,
258,257,1.194448725,1,1,4,1,4,1,5,4,0,1.524196888,0.345925366,1.870122254,1.5242,1.918,100,5,1.524196888,3.9968E-15,1.870122254,2.353546894,,,,,,,,,,,,,,,,
259,258,1.194448725,4,3,4,1,4,1,5,4,0,2.173751126,0.493345485,2.667096611,2.1738,2.736,100,5,2.173751126,-4.44089E-15,2.667096611,3.356538286,,,,,,,,,,,,,,,,
260,259,1.159945055,3,3,4,1,4,1,5,4,0,2.077508667,0.482198925,2.559707592,2.0775,2.615,100,5,2.077508667,3.9968E-15,2.559707592,3.221389319,,,,,,,,,,,,,,,,
261,260,1.159945055,3,3,4,3,4,1,5,4,0,2.430541403,0.564139381,2.994680784,2.4305,3.059,100,5,2.430541403,0,2.994680784,3.768802624,,,,,,,,,,,,,,,,
262,261,1.159945055,3,2,4,1,4,1,5,4,0,1.960590754,0.455061762,2.415652516,1.9606,2.467,100,5,1.960590754,-1.77636E-15,2.415652516,3.040096156,,,,,,,,,,,,,,,,
263,262,1.159945055,2,1,4,1,4,1,5,4,0,1.675817691,0.388964678,2.064782369,1.6758,2.109,100,5,1.675817691,-2.44249E-15,2.064782369,2.598526445,,,,,,,,,,,,,,,,
264,263,1.159945055,3,2,4,2,4,1,5,4,0,2.164667692,0.502428919,2.667096611,2.1647,2.724,100,5,2.164667692,0,2.667096611,3.356538286,,,,,,,,,,,,,,,,
265,264,1.159945055,2,2,4,2,4,1,5,4,2917.697572,2.042844648,0.474153254,2.516997901,2.0428,2.571,100,5,2.042844648,5.32907E-15,2.516997901,3.167639218,,,,,,,,,,,,,,,,
266,265,1.159945055,2,1,4,3,4,1,5,4,0,1.960590754,0.455061762,2.415652516,1.9606,2.467,100,5,1.960590754,-1.77636E-15,2.415652516,3.040096156,,,,,,,,,,,,,,,,
267,266,1.159945055,3,2,4,3,4,1,5,4,0,2.293755534,0.532390777,2.826146311,2.2938,2.887,100,5,2.293755534,0,2.826146311,3.556702167,,,,,,,,,,,,,,,,
268,267,1.159945055,2,2,4,3,4,1,5,4,0,2.164667692,0.502428919,2.667096611,2.1647,2.724,100,5,2.164667692,0,2.667096611,3.356538286,,,,,,,,,,,,,,,,
269,268,1.159945055,2,2,4,2,4,1,5,4,0,2.042844648,0.474153254,2.516997901,2.0428,2.571,100,5,2.042844648,5.32907E-15,2.516997901,3.167639218,,,,,,,,,,,,,,,,
